Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0003","00057",379255.17,4699475.02,286.95,1.96,0,0,27,-76.4680611677259,42.4382011817165
"0003","00058",379255.82,4699475.35,286.97,1.98,0,0,27,-76.4680533359719,42.4382042650126
"0003","00059",379256.47,4699475.68,286.99,1.97,0,0,27,-76.4680455042172,42.4382073483082
"0003","00060",379257.12,4699476.01,287,1.96,0,0,27,-76.4680376724616,42.4382104316033
"0003","00061",379257.77,4699476.34,287.02,1.98,0,0,27,-76.4680298407053,42.4382135148978
"0003","00062",379258.42,4699476.68,287.04,1.96,0,0,27,-76.4680220089483,42.4382165981918
"0003","00063",379259.07,4699477.01,287.05,1.94,0,0,27,-76.4680141771904,42.4382196814853
"0003","00064",379259.72,4699477.34,287.07,1.96,0,0,27,-76.4680063454318,42.4382227647783
"0003","00065",379260.37,4699477.67,287.09,1.91,0,0,27,-76.4679985136724,42.4382258480707
"0003","00066",379261.02,4699478,287.1,1.94,0,0,27,-76.4679906819122,42.4382289313627
"0003","00067",379261.67,4699478.33,287.12,1.96,0,0,27,-76.4679828501512,42.4382320146541
"0003","00068",379262.32,4699478.66,287.14,1.96,0,0,27,-76.4679750183894,42.4382350979449
"0003","00069",379262.97,4699478.99,287.15,1.97,0,0,27,-76.4679671866269,42.4382381812353
"0003","00070",379263.62,4699479.33,287.17,2.01,0,0,27,-76.4679593548636,42.4382412645251
"0003","00071",379264.27,4699479.66,287.19,1.98,0,0,27,-76.4679515230995,42.4382443478144
"0003","00072",379264.92,4699479.99,287.2,2,0,0,27,-76.4679436913346,42.4382474311032
"0004","00096",379250.39,4699471.55,286.86,2,0,0,207,-76.4681185664043,42.4381691913917
"0004","00095",379251.04,4699471.88,286.88,2,0,0,207,-76.4681107346572,42.4381722746917
"0004","00094",379251.69,4699472.21,286.9,2,0,0,207,-76.4681029029093,42.4381753579911
"0004","00093",379252.34,4699472.54,286.92,2.02,0,0,207,-76.4680950711606,42.43817844129
"0004","00092",379252.99,4699472.87,286.93,2.03,0,0,207,-76.4680872394112,42.4381815245884
"0004","00091",379253.64,4699473.2,286.95,2.02,0,0,207,-76.468079407661,42.4381846078863
"0004","00090",379254.29,4699473.54,286.97,2.01,0,0,207,-76.46807157591,42.4381876911836
"0004","00089",379254.94,4699473.87,286.99,2.02,0,0,207,-76.4680637441582,42.4381907744804
"0004","00088",379255.59,4699474.2,287.01,2,0,0,207,-76.4680559124057,42.4381938577767
"0004","00087",379256.24,4699474.53,287.02,1.98,0,0,207,-76.4680480806524,42.4381969410724
"0004","00086",379256.89,4699474.86,287.04,2,0,0,207,-76.4680402488983,42.4382000243677
"0004","00085",379257.54,4699475.19,287.06,2,0,0,207,-76.4680324171434,42.4382031076624
"0004","00084",379258.19,4699475.52,287.08,1.97,0,0,207,-76.4680245853877,42.4382061909566
"0004","00083",379258.84,4699475.85,287.1,1.99,0,0,207,-76.4680167536313,42.4382092742502
"0004","00082",379259.49,4699476.19,287.12,1.98,0,0,207,-76.468008921874,42.4382123575434
"0004","00081",379260.14,4699476.52,287.13,1.93,0,0,207,-76.468001090116,42.438215440836
"0004","00080",379260.79,4699476.85,287.15,1.95,0,0,207,-76.4679932583573,42.4382185241281
