latitude,longitude,altitude(m) 
42.439881047829,-76.4682151293225,2
42.4398767265494,-76.4682031724888,1.96
42.4398724052686,-76.4681912156568,1.95
42.4398680839865,-76.4681792588263,1.91
42.4398637627031,-76.4681673019975,1.93
42.4398594414184,-76.4681553451703,1.91
42.4398551201325,-76.4681433883448,1.95
42.4398507988453,-76.4681314315208,1.9
42.4398464775568,-76.4681194746985,1.89
42.439842156267,-76.4681075178777,1.92
42.439837834976,-76.4680955610586,1.98
42.4398335136836,-76.4680836042412,2
42.4398291923901,-76.4680716474253,1.99
42.4398248710952,-76.468059690611,1.93
42.439820549799,-76.4680477337984,2.01
42.4398162285016,-76.4680357769874,2
42.4398119072029,-76.468023820178,2.03
42.4398075859029,-76.4680118633702,2.04
42.4398032646017,-76.467999906564,2
42.4397924374996,-76.4680070389064,2
42.4397967588001,-76.4680189957109,1.96
42.4398010800994,-76.4680309525171,1.95
42.4398054013974,-76.4680429093249,1.95
42.4398097226941,-76.4680548661343,1.97
42.4398140439895,-76.4680668229453,1.98
42.4398183652837,-76.468078779758,2.03
42.4398226865766,-76.4680907365723,2
42.4398270078682,-76.4681026933881,1.97
42.4398313291585,-76.4681146502056,1.94
42.4398356504476,-76.4681266070247,1.98
42.4398399717354,-76.4681385638455,1.99
42.4398442930219,-76.4681505206678,2.01
42.4398486143071,-76.4681624774918,1.91
42.439852935591,-76.4681744343174,1.92
42.4398572568737,-76.4681863911446,1.89
42.4398615781551,-76.4681983479734,1.95
42.4398658994352,-76.4682103048038,1.96
42.4398702207141,-76.4682222616358,2
42.4398593935988,-76.4682293939468,2
42.4398550723206,-76.4682174371164,2.05
42.4398507510412,-76.4682054802876,1.99
42.4398464297605,-76.4681935234604,1.97
42.4398421084786,-76.4681815666348,1.93
42.4398377871953,-76.4681696098108,1.94
42.4398334659108,-76.4681576529884,1.94
42.439829144625,-76.4681456961677,1.98
42.439824823338,-76.4681337393486,1.97
42.4398205020496,-76.4681217825311,2
42.43981618076,-76.4681098257152,1.98
42.4398118594691,-76.4680978689009,2.01
42.4398075381769,-76.4680859120883,2
42.4398032168835,-76.4680739552772,1.98
42.4397988955887,-76.4680619984678,1.97
42.4397945742927,-76.46805004166,1.94
42.4397902529955,-76.4680380848539,1.94
42.4397859316969,-76.4680261280493,1.95
42.4397816103971,-76.4680141712463,2
