x,y,z
379260.0817970645,4699480.2348849885,1.0
379257.81925716455,4699477.55785521,1.0
379263.2735939646,4699480.804416664,1.0
379263.2914857486,4699481.226032796,1.0
379259.319406703,4699477.304336992,1.0
379260.6717233642,4699476.25301283,1.0
379258.2831234986,4699476.333040129,1.0
379263.83744448883,4699477.497883994,1.0
379258.10832865915,4699478.751878871,1.0
379255.489935945,4699474.3961598575,1.0
379263.7874971307,4699479.4156819815,1.0
379263.4550823409,4699479.959534867,1.0
379260.2532173709,4699479.810211593,1.0
379263.35381039657,4699476.9152950905,1.0
379260.43427281367,4699479.603445246,1.0
379259.8343304085,4699475.441336584,1.0
379259.91510097275,4699479.696049006,1.0
379259.9624915265,4699477.105005837,1.0
379259.3443806686,4699476.400636608,1.0
379262.8489939038,4699476.671187837,1.0
379263.29456628964,4699479.6329445075,1.0
379263.93307428795,4699481.106542953,1.0
379263.2166702891,4699479.077159642,1.0
379260.8601640954,4699477.22914856,1.0
379264.32604272786,4699480.400376657,1.0
379256.9545052324,4699474.693995235,1.0
379258.6809619519,4699478.213081669,1.0
379263.3831699012,4699478.735260177,1.0
379262.1068776846,4699476.780389066,1.0
379263.1104571298,4699477.69728041,1.0
379261.361559491,4699480.779568373,1.0
379264.9651901103,4699478.026507952,1.0
379264.55041899666,4699478.364115142,1.0
379265.2496195362,4699478.668948552,1.0
379258.47417043685,4699477.1759473905,1.0
379260.67890010396,4699477.49579206,1.0
379259.52020379266,4699478.064973151,1.0
379262.1247081382,4699476.538702197,1.0
379258.35707053187,4699477.787603293,1.0
379262.5278327573,4699479.866704583,1.0
379259.7210265626,4699478.0419954425,1.0
379265.445587812,4699478.080759659,1.0
379258.2681885946,4699474.872265341,1.0
379262.6627074723,4699481.947298554,1.0
379265.40704698476,4699478.687472137,1.0
379264.60163315333,4699478.878069455,1.0
379259.8986426817,4699477.468077044,1.0
379261.89848588646,4699476.398321836,1.0
379263.20459162665,4699479.769296943,1.0
379263.0409743691,4699480.086592884,1.0
379262.99476940144,4699480.648816352,1.0
379264.2856478667,4699479.749041106,1.0
379263.3610484778,4699479.144132117,1.0
379261.77232216403,4699476.93429813,1.0
379264.3821748141,4699478.814353653,1.0
379263.96636080986,4699477.870539504,1.0
379261.68753146066,4699476.652070075,1.0
379259.860196227,4699480.292833832,1.0
379255.83588762244,4699474.923426644,1.0
379258.71108413674,4699479.130736044,1.0
379259.548319007,4699475.858726664,1.0
379259.8518649679,4699480.224919316,1.0
379258.98454164545,4699476.207999117,1.0
379263.2560042578,4699481.045493284,1.0
379258.05877324095,4699477.215154426,1.0
379258.8721618211,4699476.748516523,1.0
379263.7330108726,4699479.1374063715,1.0
379258.8513906744,4699478.7618223475,1.0
379262.9612637195,4699480.91627877,1.0
379263.62547782453,4699481.167843608,1.0
379260.0407860387,4699477.781560077,1.0
379262.98015840334,4699477.063456567,1.0
379259.94868163974,4699477.664556326,1.0
379265.0956506925,4699478.847985835,1.0
379259.7125824309,4699477.239578639,1.0
379258.87297348666,4699479.0443072505,1.0
379263.6869157569,4699477.119667077,1.0
379257.37366173306,4699478.59543759,1.0
379263.02077199466,4699478.721323721,1.0
379265.01354815403,4699479.46797438,1.0
379259.2153738488,4699477.239353235,1.0
379258.8591375067,4699477.238375455,1.0
379263.4188830885,4699477.799630711,1.0
379262.34033441375,4699481.891262827,1.0
379263.08034491667,4699479.6599982595,1.0
379260.7854803754,4699479.571087516,1.0
379263.91758217494,4699479.630916105,1.0
379264.4512643791,4699478.837150889,1.0
379262.83318617794,4699478.326040507,1.0
379261.05675615236,4699477.7872295035,1.0
379259.46034328715,4699476.794258888,1.0
379261.24712045776,4699477.937124986,1.0
379260.92400413234,4699478.936435902,1.0
379260.17794002546,4699479.074124815,1.0
379259.1323056973,4699476.334779076,1.0
379263.9812558506,4699479.027952192,1.0
379254.60393115145,4699476.663721571,1.0
379261.96982438944,4699479.241909874,1.0
379260.0942220262,4699477.018976292,1.0
379259.31905668246,4699477.016044198,1.0
379261.7351204046,4699478.443837334,1.0
379259.04587342864,4699477.035658462,1.0
379253.7228542742,4699477.3935640445,1.0
379261.49231865193,4699478.038057252,1.0
379259.84756541066,4699478.83851793,1.0
379259.4368742708,4699476.163806413,1.0
379263.9760364713,4699477.650741951,1.0
379259.84960991977,4699479.802491315,1.0
379257.042773236,4699474.883571339,1.0
379263.2713547815,4699476.918286663,1.0
379261.279553315,4699476.7635877095,1.0
379260.02401387476,4699477.502168851,1.0
379260.32525096386,4699478.251856379,1.0
379262.9258997357,4699476.659422797,1.0
379262.0825840961,4699479.5142811835,1.0
379259.7381976871,4699476.316489804,1.0
379265.20580985374,4699479.279946093,1.0
379258.0953985426,4699478.545369869,1.0
379260.07786049333,4699479.48520623,1.0
379258.3902695394,4699478.461040065,1.0
379258.6188720839,4699477.386792959,1.0
379261.6875128207,4699480.11654282,1.0
379257.18509763974,4699478.511847858,1.0
379264.50069288485,4699478.144342673,1.0
379263.95929426723,4699480.2936901655,1.0
379258.6320647867,4699478.5875347415,1.0
379259.1578540913,4699477.464056879,1.0
379264.0512893162,4699477.4982495215,1.0
379263.5863720363,4699478.777305276,1.0
379259.01778943656,4699479.4078140715,1.0
379256.94062824413,4699478.280929959,1.0
379262.4290758112,4699481.227090144,1.0
379257.44156320207,4699477.859577215,1.0
379259.89163475845,4699478.655816089,1.0
379263.55263576354,4699477.204222264,1.0
379259.4889420281,4699480.455331832,1.0
379262.24270069174,4699477.192850935,1.0
379258.1889334461,4699476.8898830945,1.0
379262.4670016552,4699481.164338256,1.0
379260.024424468,4699477.355864867,1.0
379263.39931493177,4699478.266887703,1.0
379260.2195242579,4699476.2032898255,1.0
379258.1143178006,4699475.695283745,1.0
379258.6657300305,4699476.935110061,1.0
379262.91366367287,4699477.853775214,1.0
379262.95501851913,4699480.425190697,1.0
379264.8926270344,4699479.164123711,1.0
379257.13446390175,4699479.218986268,1.0
379258.32279416296,4699475.782879733,1.0
379259.164559337,4699477.928045742,1.0
379258.86541538587,4699477.841030084,1.0
379259.60575133347,4699478.394025255,1.0
379260.69369326014,4699479.149146426,1.0
379258.11235356214,4699476.651157793,1.0
379263.91500363674,4699477.367835052,1.0
379264.4648184162,4699478.963378279,1.0
379265.2095925726,4699477.685168164,1.0
379259.3481505526,4699476.653072291,1.0
379257.91346065735,4699478.911583246,1.0
379263.5359348244,4699480.017038283,1.0
379263.81545288314,4699479.717239028,1.0
379263.4190711033,4699480.455616516,1.0
379262.93206992664,4699479.817127126,1.0
379259.62428435753,4699480.432769375,1.0
379260.8826814313,4699481.052457149,1.0
379262.73576345894,4699479.345321543,1.0
379259.22762222856,4699477.4437788045,1.0
379260.530477996,4699477.001948237,1.0
379258.3538809656,4699475.864940514,1.0
379263.046694106,4699477.208470104,1.0
379263.241516022,4699479.961308179,1.0
379259.6511895139,4699480.270909997,1.0
379259.29374155594,4699477.344605743,1.0
379259.1644254289,4699477.130588246,1.0
379255.11731792876,4699473.9524280615,1.0
379253.5895594605,4699477.210875263,1.0
379262.5795684172,4699481.067379435,1.0
379258.5617193607,4699476.685080383,1.0
379261.01762644004,4699481.302301879,1.0
379260.52563176013,4699475.824525704,1.0
379262.295040749,4699479.744519631,1.0
379258.12405545235,4699478.025118097,1.0
379264.414721778,4699479.643529217,1.0
379264.777457988,4699479.874054696,1.0
379263.70088780526,4699477.345024018,1.0
379262.872664673,4699478.695720092,1.0
379256.1656587813,4699479.027887262,1.0
379259.2311020996,4699478.707914374,1.0
379262.00543996977,4699479.153347193,1.0
379259.93394510995,4699478.340176409,1.0
379263.81772056606,4699478.842822028,1.0
379257.9835996927,4699475.713304587,1.0
379259.6987981603,4699475.819892423,1.0
379264.18951758044,4699480.26760731,1.0
379258.5498686362,4699475.394782408,1.0
379259.7734417694,4699480.484783161,1.0
379258.803443144,4699475.565692833,1.0
379263.9056464274,4699480.671857114,1.0
379259.34178514173,4699477.180528989,1.0
379263.6094231832,4699478.939910836,1.0
379257.24239002896,4699477.454607038,1.0
379259.1732864353,4699478.563553484,1.0
379258.94460488245,4699476.405080642,1.0
379265.5512415471,4699477.986244429,1.0
379264.13157710526,4699478.76657715,1.0
379258.9971985899,4699476.834043836,1.0
379258.56777365634,4699477.15978407,1.0
379264.94662540907,4699478.677119495,1.0
379257.46642578655,4699479.137631207,1.0
379257.67015727836,4699478.340197508,1.0
379258.8659941192,4699476.837943633,1.0
379262.6538981594,4699479.044284825,1.0
379257.74152633955,4699476.993318326,1.0
379263.09696408006,4699478.139342724,1.0
379259.68211683014,4699478.743508372,1.0
379258.5341998579,4699475.601812208,1.0
379260.2692591711,4699479.113918655,1.0
379264.59568171314,4699480.688980451,1.0
379257.27755078295,4699474.393833893,1.0
379258.355768165,4699478.000814005,1.0
379260.42788442137,4699477.236767401,1.0
379259.8621816584,4699479.534998342,1.0
379259.8428172447,4699480.524545399,1.0
379265.01495031716,4699479.066547478,1.0
379262.9826914932,4699479.6045482075,1.0
379263.10604902153,4699477.998764003,1.0
379264.0619807418,4699477.678912653,1.0
379258.5419702651,4699479.21130151,1.0
379265.1857945202,4699477.867780458,1.0
379263.9917536815,4699480.8002778115,1.0
379261.6458322903,4699478.623000797,1.0
379263.58108476986,4699479.803789933,1.0
379258.6062624847,4699479.558603025,1.0
379263.974825648,4699477.922607064,1.0
379263.3749027449,4699478.654172728,1.0
379253.58781285957,4699477.809546335,1.0
379264.18504842574,4699479.285281321,1.0
379263.0961615286,4699478.245798012,1.0
379254.74461109436,4699475.319643857,1.0
379263.8468929506,4699477.202444451,1.0
379264.1452207524,4699478.809627031,1.0
379264.9197104219,4699477.969955251,1.0
379261.4945525524,4699478.16163548,1.0
379264.95720539824,4699478.827648942,1.0
379261.3259565538,4699478.347028236,1.0
379263.7023309793,4699477.8185381,1.0
379257.16935249924,4699479.141565837,1.0
379259.6259204953,4699476.3166305,1.0
379263.6637251927,4699478.675339533,1.0
379259.7959589914,4699480.535240095,1.0
379257.1191962395,4699478.62046396,1.0
379259.4458802502,4699477.7354121655,1.0
379263.41268968163,4699480.810822892,1.0
379264.75291329337,4699479.187596078,1.0
379257.2904800323,4699478.571984188,1.0
379258.727422144,4699476.397800251,1.0
379264.6604174918,4699477.41524827,1.0
379256.6951666403,4699475.893951205,1.0
379264.64119123877,4699477.634049068,1.0
379264.1415013788,4699480.554761157,1.0
379265.156812559,4699479.446379069,1.0
379260.5369453302,4699478.233023886,1.0
379258.3437320131,4699475.36873178,1.0
379265.0556520303,4699479.297856776,1.0
379264.1283206513,4699477.341209932,1.0
379263.19062750426,4699478.86041311,1.0
379260.1558472389,4699479.85585323,1.0
379253.19426275074,4699476.849238294,1.0
379257.945613302,4699478.45490286,1.0
379261.88561271154,4699479.480132509,1.0
379263.09949204087,4699479.602770436,1.0
379257.42201777425,4699477.647095931,1.0
379258.91586435324,4699478.329360789,1.0
379258.56969918177,4699478.981511289,1.0
379260.0752299739,4699475.607067603,1.0
379258.6545692687,4699478.42295689,1.0
379259.7571234769,4699476.959294835,1.0
379258.86733056506,4699479.9193793135,1.0
379263.41240904573,4699477.210385117,1.0
379259.8623268681,4699477.541730136,1.0
379264.3657493603,4699478.601510141,1.0
379258.96769563673,4699478.369837795,1.0
379264.8316993263,4699478.881901858,1.0
379264.00143990316,4699477.221519192,1.0
379263.0709546671,4699476.948204118,1.0
379263.5256716543,4699476.943828062,1.0
379258.4642462791,4699477.495591303,1.0
379263.87607617286,4699477.69630749,1.0
379261.6985385313,4699477.531769973,1.0
379259.13069902547,4699478.381945837,1.0
379261.59032145573,4699478.207890438,1.0
379258.8041066223,4699475.100455484,1.0
379257.6010117966,4699478.618304256,1.0
379263.6285354423,4699477.552405844,1.0
379264.64835438895,4699478.585096181,1.0
379258.98029982456,4699477.5352126295,1.0
379262.42761946155,4699478.642815567,1.0
379258.59300509805,4699479.302765881,1.0
379258.9875547079,4699478.269904819,1.0
379263.6268955125,4699477.701277706,1.0
379265.68131828564,4699477.965602589,1.0
379264.6661209079,4699478.996549284,1.0
379263.1200537129,4699476.873846814,1.0
379263.36058159114,4699478.021012765,1.0
379264.243859797,4699477.631223949,1.0
379261.59481498,4699477.675159596,1.0
379258.24782125576,4699478.880236696,1.0
379264.27028931706,4699480.159696257,1.0
379264.9521668754,4699478.2183266515,1.0
379257.6028452568,4699478.088076739,1.0
379258.7686098326,4699475.920512943,1.0
379257.5458513406,4699475.8782643555,1.0
379261.4357224796,4699480.445382726,1.0
379258.513273908,4699479.130311715,1.0
379258.12322085025,4699479.080863199,1.0
379259.76503090333,4699478.4057960035,1.0
379258.87685961736,4699476.610890097,1.0
379255.261880104,4699475.347077686,1.0
379264.37926797225,4699478.649780914,1.0
379259.6892628688,4699477.848206153,1.0
379260.220462344,4699476.777264635,1.0
379258.72713644704,4699476.919991071,1.0
379263.52284047013,4699478.44640063,1.0
379262.9924303127,4699478.262020588,1.0
379262.5494223056,4699481.231086063,1.0
379259.36603318935,4699478.516037363,1.0
379261.8514618915,4699478.880873581,1.0
379258.96091715514,4699478.06982927,1.0
379263.91804526874,4699478.295526989,1.0
379258.9710226284,4699478.223920409,1.0
379262.25871642464,4699476.856511254,1.0
379258.2058744402,4699478.5824444,1.0
379264.27046278503,4699478.243859455,1.0
379259.7976677127,4699476.968157932,1.0
379259.2726491017,4699476.473914286,1.0
379265.01630430465,4699478.647488461,1.0
379261.4981263755,4699480.134962215,1.0
379258.66142792127,4699479.727964168,1.0
379261.85701155505,4699479.331623625,1.0
379260.3184018911,4699478.923457756,1.0
379260.1385378447,4699480.593978678,1.0
379264.5113361982,4699479.087011337,1.0
379258.57307422464,4699479.114156673,1.0
379259.9225355109,4699477.023331805,1.0
379263.0618641566,4699479.825506638,1.0
379256.87354102393,4699474.954754351,1.0
379259.4742357986,4699476.91812528,1.0
379263.4106869771,4699477.598364195,1.0
379259.9208161869,4699480.395218036,1.0
379253.5017019814,4699474.444890107,1.0
379261.06646354136,4699477.091047322,1.0
379259.59773472394,4699477.809491969,1.0
379262.53932857886,4699481.116337148,1.0
379260.4148116736,4699480.963871896,1.0
379262.85315599147,4699480.460836901,1.0
379263.081396791,4699477.298534699,1.0
379253.66966847994,4699476.480554628,1.0
379262.65332293976,4699481.3826885065,1.0
379259.8772852422,4699480.5166887045,1.0
379258.4675865178,4699479.106878688,1.0
379263.20830821316,4699477.5593869155,1.0
379262.9173505059,4699476.942596458,1.0
379260.2886735775,4699476.150143998,1.0
379254.0171545889,4699474.415546793,1.0
379263.7705418867,4699479.57667602,1.0
379263.67988926946,4699479.46663273,1.0
379258.5306909208,4699477.802905645,1.0
379258.39304190525,4699477.144424733,1.0
379259.400791554,4699475.898440693,1.0
379264.2430049163,4699477.9534350755,1.0
379258.002118818,4699478.658488422,1.0
379259.58374690666,4699477.203636747,1.0
379264.27925215603,4699478.532964339,1.0
379257.9438358102,4699478.243938121,1.0
379264.7355502569,4699480.385879609,1.0
379258.4816848807,4699478.959791824,1.0
379259.57159118284,4699478.209275665,1.0
379264.4692763591,4699479.803957125,1.0
379259.42631744,4699476.125183652,1.0
379253.69760092965,4699475.4919097405,1.0
379257.251773064,4699477.575173812,1.0
379263.61345620255,4699477.167946152,1.0
379263.24547523144,4699478.009070316,1.0
379257.7208706915,4699478.68007157,1.0
379261.9479478564,4699477.195148785,1.0
379264.1480654644,4699478.704555628,1.0
379264.37230142485,4699479.619304542,1.0
379264.07163914025,4699478.597571346,1.0
379259.77609942673,4699480.572649006,1.0
379260.0319730558,4699476.919239159,1.0
379254.1187371336,4699475.294270296,1.0
379259.2145327159,4699477.9231790835,1.0
379258.0798098028,4699477.393099424,1.0
